"","id","host_id","host_name","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","property_type","price","security_deposit","review_scores_rating","place","avg_rating","experience_rating","response_rating","acceptance_rating","risk","risk_score","host_rating"
"963",11504603,47121690,"Liesbet",2015-10-21,"within an hour","100","62","t","Bungalow",95,200,94,"Ghent",94,0.05,1,0.62,2.11,0.96,6.91
"964",11538310,39312954,"Tamara",2015-07-23,"within an hour","100","100","t","House",49,150,98,"Ghent",97,0.16,1,1,3.06,0.94,8.48
"965",12103538,64426079,"Bart",2016-03-25,"within an hour","100","100","t","Loft",320,300,99,"Ghent",97,-0.14,1,1,0.94,0.98,8.31
"966",12104123,44774304,"Marieke",2015-09-21,"within an hour","100","100","t","Apartment",91,NA,99,"Ghent",99,0.09,1,1,0,1,8.59
"967",12423613,24194314,"Caroline",2014-11-26,"within an hour","100","100","t","Loft",80,NA,96,"Ghent",96,0.45,1,1,0,1,8.95
"968",12694459,10143101,"Olivier",2013-11-20,"within an hour","100","100","t","Apartment",89,150,94,"Ghent",95,0.91,1,1,1.69,0.97,9.31
"969",13000667,15714372,"Els",2014-05-19,"within an hour","100","100","t","House",75,NA,93,"Ghent",86,0.69,1,1,0,1,9.19
"970",13263246,27980746,"Ziggy & Pieter",2015-02-19,"within an hour","100","99","t","House",35,150,98,"Ghent",98,0.35,1,0.99,4.29,0.91,8.55
"971",13537299,77860805,"Pieter",2016-06-15,"within an hour","100","100","t","Apartment",145,200,97,"Ghent",98,-0.24,1,1,1.38,0.97,8.18
"972",13730220,80301064,"Inge",2016-06-27,"within an hour","100","100","t","House",50,500,94,"Ghent",94,-0.25,1,1,10,0.8,7.65
"973",13888897,43570873,"Peter",2015-09-07,"within an hour","100","100","t","Loft",85,NA,99,"Ghent",99,0.11,1,1,0,1,8.61
"975",14417354,16289639,"Len",2014-06-02,"within an hour","100","100","t","Loft",225,1000,98,"Ghent",98,0.67,1,1,4.44,0.91,8.9
"976",14541530,89977974,"Erwin",2016-08-15,"within an hour","100","98","t","Guesthouse",89,350,99,"Ghent",99,-0.31,1,0.98,3.93,0.92,7.87
"977",14877515,93264204,"Wim",2016-09-03,"within an hour","100","99","t","Townhouse",36,150,96,"Ghent",96,-0.33,1,0.99,4.17,0.92,7.88
"978",14881274,26806492,"Elien & Filip",2015-01-27,"within an hour","100","100","t","Townhouse",40,NA,99,"Ghent",99,0.38,1,1,0,1,8.88
"979",15032634,94795382,"Kellee & Tom",2016-09-12,"within an hour","100","100","t","Townhouse",66,200,93,"Ghent",95,-0.35,1,1,3.03,0.94,7.97
"980",15358026,29465860,"Lidwine",2015-03-16,"within an hour","100","88","t","Apartment",56,400,100,"Ghent",100,0.32,1,0.88,7.14,0.86,7.91
"981",15474704,31354851,"Elke",2015-04-16,"within an hour","100","100","t","House",45,NA,95,"Ghent",95,0.28,1,1,0,1,8.78
"982",15556254,100147822,"Barbara",2016-10-18,"within an hour","100","100","t","Townhouse",60,100,90,"Ghent",92,-0.39,1,1,1.67,0.97,8.01
