"","reviews_per_month","availability_30","price","id","place"
"2912",0.45,0,34,3479010,"Brussels"
"2913",4.06,30,40,3486284,"Brussels"
"2914",0.03,0,25,3487062,"Brussels"
"2915",0.11,0,120,3502586,"Brussels"
"2916",0.2,0,70,3503685,"Brussels"
"2917",3.76,24,70,3504967,"Brussels"
"2918",2.9,26,169,3505299,"Brussels"
"2919",0.93,30,100,3505384,"Brussels"
"2920",3.85,0,30,3508076,"Brussels"
"2921",4.46,0,70,3509343,"Brussels"
"2922",2.57,0,25,3514462,"Brussels"
"2923",0.04,0,60,3523506,"Brussels"
"2924",6.96,22,69,3531930,"Brussels"
"2925",1.77,30,32,3536918,"Brussels"
"2926",0.61,29,65,3552218,"Brussels"
"2927",0.01,0,49,3560046,"Brussels"
"2928",0.06,0,45,3564973,"Brussels"
"2929",0.13,1,55,3566467,"Brussels"
"2930",0.1,0,18,3574815,"Brussels"
"2931",0.03,0,55,3592796,"Brussels"
"2932",0.89,30,50,3599724,"Brussels"
"2933",3.27,0,49,3601971,"Brussels"
"2934",0.51,29,170,3611366,"Brussels"
"2935",0.03,0,59,3632433,"Brussels"
"2936",0.06,0,80,3658530,"Brussels"
"2937",1.66,29,67,3663212,"Brussels"
"2938",4.51,0,54,3665392,"Brussels"
"2939",3.19,29,25,3669481,"Brussels"
"2940",0.69,0,150,3670785,"Brussels"
"2941",0.94,28,140,3683586,"Brussels"
"2942",3.47,0,30,3703824,"Brussels"
"2943",0.6,23,69,3710512,"Brussels"
"2944",1.21,27,60,3714332,"Brussels"
"2945",0.26,28,59,3717573,"Brussels"
"2946",0.44,28,59,3718574,"Brussels"
"2947",0.49,0,100,3722754,"Brussels"
"2948",0.2,29,45,3727601,"Brussels"
"2949",0.06,0,65,3735330,"Brussels"
"2950",0.07,30,60,3738878,"Brussels"
"2951",0.02,0,45,3741493,"Brussels"
"2952",1.75,0,38,3744540,"Brussels"
"2953",0.91,0,79,3749264,"Brussels"
"2954",0.23,0,65,3754151,"Brussels"
"2955",0.05,0,38,3754260,"Brussels"
